104031,104166,678
104031,234114,655
104166,234114,600
234124,234141,581
104031,114071,535
234218,94412,534
104016,104031,531
104013,104035,521
104221,104223,519
104166,234129,512
104221,44105,504
104031,234117,484
104223,44105,483
234114,234129,483
104031,234129,482
104016,114071,482
104032,234141,462
234123,234247,440
104032,234124,415
104035,44252,389
104013,44252,386
104016,234117,366
234218,44252,354
234292,94412,353
104035,114075,350
104013,114075,349
104134,234141,347
234218,234292,345
44252,94412,337
114075,44252,336
114071,234117,320
104134,234124,315
44127,44131,315
104016,104018,311
104003,104019,309
104022,104131,302
104018,125001,298
104034,44131,290
234125,234141,263
104032,104134,261
114071,234124,258
234124,234125,254
104034,44127,254
44105,44268,253
104019,125001,253
104221,44268,252
104223,44268,249
44137,44202,246
104032,234125,245
114071,234141,241
104131,114052,238
114071,234114,235
104016,44102,233
104032,114071,231
104016,125001,228
104034,104223,225
234292,44252,225
234118,234247,214
104019,114051,213
104134,44252,203
104134,94412,203
104134,234218,202
114051,125001,196
234125,94412,193
104031,44102,191
114071,44102,185
104018,234128,185
125001,234128,185
234118,234123,185
104003,125001,182
234125,236343,180
34029,34035,179
114071,234125,177
44131,44140,177
114051,234128,176
104034,104221,174
236343,236501,174
44127,44140,172
104034,44105,169
104018,114051,169
94314,94423,169
104221,114073,168
114073,44105,168
104131,234128,168
34035,34043,164
236343,236360,164
34029,34043,163
104223,114073,161
234118,234218,159
234247,234292,158
234129,234141,158
234125,234218,158
236343,236350,158
234141,44252,157
104004,114051,157
104131,125013,157
124120,134058,157
34028,34042,156
104228,34035,156
34033,34035,154
104166,114071,154
234125,234247,152
104221,44157,151
44105,44157,150
104228,34029,150
104134,234129,150
234125,234292,150
104134,114071,150
104131,34028,147
34029,34033,147
234124,44252,146
234218,236319,146
314533,34042,144
104228,34043,144
104022,114052,143
104022,34028,142
104131,34042,142
314533,34028,142
234124,234129,142
104004,125801,141
104223,44157,138
104034,44140,138
114073,44268,136
104022,34042,136
34033,34043,136
104131,314533,135
104228,114052,135
104016,234114,135
104134,234292,135
104166,104195,134
104034,44268,134
104035,114032,133
104134,234125,133
104013,114032,132
104022,314533,132
234117,44102,132
114071,234129,132
104019,124120,131
14108,14505,131
44137,44158,131
104131,114051,130
104003,14103,130
125001,14103,130
114073,44157,129
44148,44202,129
104019,14103,128
114032,44252,126
104228,34033,126
44198,44202,126
104019,134058,125
234292,236319,125
94224,94241,125
94241,94423,125
34040,34041,125
114032,114075,124
104018,104019,124
236319,94412,124
44158,44202,123
34022,34041,122
44157,44268,121
104016,234128,121
104166,234117,121
104016,114074,120
44137,44148,120
104004,104131,120
34022,34040,120
104019,234128,119
234125,44252,119
234125,236360,119
104031,114074,118
44124,44137,118
104003,124120,117
104003,134058,117
104016,134058,116
104003,14008,116
114052,94412,115
104223,114101,115
34010,34013,115
234129,234218,115
44124,44202,115
104032,94412,114
104004,14104,113
104022,114051,112
114051,125013,112
114052,34035,112
234123,234292,112
114071,134058,111
104032,234129,111
44137,44198,111
104166,234124,111
125101,125801,110
114052,34029,109
34013,34015,109
125001,14008,109
104223,234141,108
104034,114101,108
125001,134058,108
34013,34032,108
104221,234141,107
34022,34371,107
234247,236363,107
104215,84213,106
104215,84225,106
234114,234117,106
34015,34032,106
104221,234124,105
234141,44105,105
104033,94412,105
104215,104228,105
104013,114076,105
104035,114076,105
234124,44105,104
84213,84225,104
234123,234125,104
34010,34015,104
34015,34030,104
104019,14008,104
94224,94423,104
34041,34371,104
104018,134058,103
104022,125013,103
114052,34043,103
114071,44252,103
104022,84506,102
125013,34028,102
104003,114051,102
104004,234128,101
125013,34042,101
114052,234128,101
34010,34032,101
104034,114073,101
104131,84506,100
314200,84506,100
114020,114076,100
34040,34371,100
104022,314200,99
84225,94411,99
125013,314533,99
44101,44131,99
234247,94412,99
104223,234124,98
104215,94411,98
104228,84213,98
104228,84225,98
104228,94411,98
84213,94411,98
104131,314200,97
125801,134019,97
104004,125013,97
104032,44252,96
34013,34030,96
34030,34032,96
104034,44157,96
115204,116217,95
134058,94412,95
44167,46195,95
96210,96411,94
114073,44127,94
104004,125101,94
34010,34030,94
234125,236363,94
114101,44105,93
114036,115203,93
14409,14730,93
14006,14603,93
104018,114071,93
114071,125001,93
114052,34033,92
104131,134019,92
44101,44127,92
14108,14211,92
104031,324033,92
104033,234218,91
104013,104135,91
46209,46267,91
125013,14104,91
104032,104166,91
104221,114101,90
104013,114020,90
314200,85201,90
14004,14409,90
14211,14505,90
114052,314200,89
94313,94333,89
104035,114020,89
104022,85201,89
44131,44157,89
14113,14147,89
114052,84506,88
125801,54135,88
104131,85201,88
84506,85201,88
14405,14603,88
134058,234218,88
125001,234112,87
234125,234129,87
104004,54135,87
44127,44157,87
114086,114101,87
94201,94210,87
114052,234218,86
234118,94412,86
104016,334021,86
114052,85201,86
236350,236360,86
14008,14103,86
104031,234124,86
94241,94314,86
234247,94591,85
14143,14149,85
94313,94411,84
234125,236501,84
234141,94412,84
104031,394808,84
104034,44101,84
94224,95295,84
114073,44131,83
104016,324033,83
234129,94412,83
14153,14405,83
104223,44252,83
236343,236363,83
134058,334021,82
104033,236343,82
104195,234114,82
14143,14409,82
234247,236703,82
94204,94224,82
94204,95295,82
114052,234125,81
14143,14730,81
14006,14405,81
104031,44252,80
234118,234125,80
14003,14603,80
46195,46200,80
14149,14409,79
104033,234247,79
234218,44127,79
236350,236501,79
44167,46200,79
14108,14145,79
125001,94412,79
14149,14730,78
14104,234128,78
44124,44158,78
104032,94201,78
134058,234125,77
104004,314535,77
14145,14505,77
14213,14405,77
44202,46195,77
104004,134019,76
236343,94591,76
44124,44148,76
114051,34042,75
134019,234128,75
104033,236360,75
234129,234247,75
94241,95295,75
14003,14006,75
114051,125801,75
104031,45001,74
114051,34028,74
114052,134019,74
14153,14603,74
14004,14730,74
14409,14618,74
14003,14841,74
234123,236363,74
234125,94591,74
134058,236343,74
104016,45001,73
14153,14213,73
114052,234292,72
234218,234247,72
236360,236363,72
14104,314535,72
104032,94210,72
94204,94241,72
104221,44252,72
14146,14148,71
14316,14411,71
134058,234247,71
14145,14211,71
114071,94412,71
104134,104223,70
104018,334021,70
34040,94481,70
114051,314533,70
104223,114075,70
44198,46195,70
104034,234218,70
14505,314535,70
14006,14153,70
114051,125101,70
44101,44137,69
44166,44169,69
44137,46267,69
94201,94412,69
114071,234218,69
94222,95605,69
84312,84738,68
104018,234112,68
114051,14104,68
125013,314535,68
94210,94423,68
94210,94412,68
14146,14411,67
14148,14150,67
14148,14411,67
14316,14731,67
104228,114054,67
14213,14603,67
114101,44268,67
14004,14143,67
234123,236703,67
14003,14405,67
234123,94412,67
114071,324033,67
44105,44252,67
114081,34040,67
14150,14411,66
114071,334021,66
134019,274001,66
104033,234125,66
234125,236319,66
104228,94481,66
234247,236267,66
44148,44158,66
125013,234128,66
44101,44202,66
114081,34041,66
234247,236360,66
104134,104221,65
14146,14150,65
114076,44252,65
234118,44127,65
234141,234218,65
104004,14008,65
236267,236343,65
94222,94423,65
94224,94314,65
104134,234247,65
44202,94591,65
84314,84738,64
104134,44105,64
114030,114101,64
134058,44102,64
114052,234247,64
114074,44102,64
234118,234292,64
104013,114052,63
104131,14104,63
44101,44140,63
114051,324033,63
114052,125001,63
114071,45001,62
114030,44105,62
134058,234123,62
236319,44252,62
14004,14149,62
44137,46195,62
94224,94564,62
234292,94591,62
44159,44167,62
104032,234114,62
84312,84314,61
44334,46267,61
104013,104031,61
94210,94241,61
104223,44127,61
94222,94224,61
234218,94591,61
14003,14153,61
34041,94481,61
14147,16111,61
96211,97447,61
125001,234125,61
84220,84738,60
104221,114030,60
14150,14316,60
236332,236333,60
114036,114246,60
114246,115203,60
234125,236350,60
234141,234292,60
114051,94411,60
94224,94313,60
14618,14730,60
14603,14841,60
